Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm)
1D0,FAUC,5.98,0.124,0.806
1D0,FAUC,7.15,0.622,1.083
1D0,FAUC,8.15,0.124,0.634
1D0,FAUC,8.31,0.124,0.346
1D0,FAUC,8.46,0.124,0.749
1D0,FAUC,16.68,0.124,0.749
1D0,FAUC,17.66,0.124,0.461
1D0,FAUC,20.36,0.124,1.152
1D0,FAUC,20.94,0.124,0.634
1D0,FAUC,21.23,0.124,0.461
1D0,FAUC,21.64,0.373,0.672
1D0,FAUC,21.94,0.124,0.806
1D0,FAUC,22.72,0.124,0.518
1D0,FAUC,22.75,0.746,1.018
1D0,FAUC,22.77,0.124,0.518
1D0,FAUC,22.78,0.124,0.634
1D0,FAUC,22.81,0.249,0.605
1D0,FAUC,22.98,0.124,0.346
1D0,FAUC,23.07,0.497,0.907
1D1,DWSH,15.94,1.667,1.531
1D1,DWSH,16.09,1.667,1.469
1D1,FAUC,6.93,0.155,0.691
1D1,FAUC,6.93,0.62,1.282
1D1,FAUC,7.35,1.084,1.012
1D1,FAUC,7.41,3.098,1.187
1D1,FAUC,7.47,0.155,0.461
1D1,FAUC,7.47,1.549,0.092
1D1,FAUC,8.03,0.155,0.634
1D1,FAUC,8.19,0.31,0.893
1D1,FAUC,8.35,0.155,1.325
1D1,FAUC,12.69,0.155,0.576
1D1,FAUC,14.81,0.155,0.806
1D1,FAUC,14.92,0.155,1.037
1D1,FAUC,15.17,1.549,0.611
1D1,FAUC,15.3,0.774,1.233
1D1,FAUC,15.32,1.084,0.987
1D1,FAUC,16.68,0.155,1.44
1D1,FAUC,16.68,0.465,1.114
1D1,FAUC,16.76,1.394,1.011
1D1,FAUC,17.13,0.155,1.037
1D1,FAUC,17.17,0.31,0.749
1D1,FAUC,17.2,1.239,1.433
1D1,FAUC,17.4,0.774,1.359
1D1,FAUC,17.77,0.155,1.613
1D1,FAUC,17.78,1.704,1.581
1D1,FAUC,17.82,0.62,1.382
1D1,FAUC,18.91,0.465,0.998
1D1,FAUC,18.93,0.31,1.21
1D1,FAUC,19.01,1.084,1.531
1D1,FAUC,19.86,2.014,1.662
1D1,FAUC,19.9,0.465,1.306
1D1,FAUC,19.93,2.943,1.637
1D1,SHWR,14.44,16.109,1.891
1D2,CWSH,8.9,4,1.03
1D2,CWSH,9.64,3,1.352
1D2,CWSH,9.7,0.167,0.922
1D2,CWSH,9.72,0.167,1.424
1D2,CWSH,9.88,3,1.303
1D2,CWSH,9.93,0.167,1.047
1D2,FAUC,0.85,0.131,0.518
1D2,FAUC,0.87,0.131,0.691
1D2,FAUC,1.15,0.131,0.576
1D2,FAUC,8.83,0.131,0.518
1D2,FAUC,9.3,0.131,0.518
1D2,FAUC,9.34,0.131,0.518
1D2,FAUC,13.4,0.524,1.411
1D2,FAUC,13.42,0.131,0.864
1D2,FAUC,13.43,0.131,0.691
1D2,FAUC,13.51,0.262,1.094
1D2,FAUC,13.53,0.524,1.109
1D2,FAUC,17.62,0.131,0.518
1D2,FAUC,19.24,0.131,0.518
1D2,FAUC,19.39,0.131,0.691
1D2,FAUC,20.93,0.131,0.518
1D2,FAUC,23.1,0.786,0.442
1D2,FAUC,23.5,0.262,1.382
1D3,CWSH,14.94,4.833,1.342
1D3,CWSH,15.55,3.5,1.413
