Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm),Volume (gal),,,Weekday,Weekend,Holiday,All
1D0,FAUC,5.98,0.124,0.806,0.099944,,Average,33.3224215,41.402649,36.3655044,36.87941724
1D0,FAUC,7.15,0.622,1.083,0.673626,,stdev,19.54426403,23.37307411,31.83386438,24.81507551
1D0,FAUC,8.15,0.124,0.634,0.078616,,,,,,
1D0,FAUC,8.31,0.124,0.346,0.042904,,,,,,
1D0,FAUC,8.46,0.124,0.749,0.092876,,,,,,
1D0,FAUC,16.68,0.124,0.749,0.092876,,,,,,
1D0,FAUC,17.66,0.124,0.461,0.057164,,,,,,
1D0,FAUC,20.36,0.124,1.152,0.142848,,,,,,
1D0,FAUC,20.94,0.124,0.634,0.078616,,,,,,
1D0,FAUC,21.23,0.124,0.461,0.057164,,,,,,
1D0,FAUC,21.64,0.373,0.672,0.250656,,,,,,
1D0,FAUC,21.94,0.124,0.806,0.099944,,,,,,
1D0,FAUC,22.72,0.124,0.518,0.064232,,,,,,
1D0,FAUC,22.75,0.746,1.018,0.759428,,,,,,
1D0,FAUC,22.77,0.124,0.518,0.064232,,,,,,
1D0,FAUC,22.78,0.124,0.634,0.078616,,,,,,
1D0,FAUC,22.81,0.249,0.605,0.150645,,,,,,
1D0,FAUC,22.98,0.124,0.346,0.042904,,,,,,
1D0,FAUC,23.07,0.497,0.907,0.450779,3.37807,,,,,
1D1,DWSH,15.94,1.667,1.531,2.552177,,,,,,
1D1,DWSH,16.09,1.667,1.469,2.448823,,,,,,
1D1,FAUC,6.93,0.155,0.691,0.107105,,,,,,
1D1,FAUC,6.93,0.62,1.282,0.79484,,,,,,
1D1,FAUC,7.35,1.084,1.012,1.097008,,,,,,
1D1,FAUC,7.41,3.098,1.187,3.677326,,,,,,
1D1,FAUC,7.47,0.155,0.461,0.071455,,,,,,
1D1,FAUC,7.47,1.549,0.092,0.142508,,,,,,
1D1,FAUC,8.03,0.155,0.634,0.09827,,,,,,
1D1,FAUC,8.19,0.31,0.893,0.27683,,,,,,
1D1,FAUC,8.35,0.155,1.325,0.205375,,,,,,
1D1,FAUC,12.69,0.155,0.576,0.08928,,,,,,
